timestamp,x,y,z
1674563083312,3.538158,-4.802733,0.234211
1674563083323,3.538158,-4.802733,0.234211
1674563083333,-0.001375,-0.000327,0.005973
1674563083343,-0.001375,-0.000327,0.005973
1674563083353,-0.100870,0.497943,-0.211580
1674563083363,-0.099478,0.485855,-0.213654
1674563083373,-0.050224,0.463176,-0.215505
1674563083383,-0.035932,0.455933,-0.220507
1674563083393,0.191888,0.012522,0.011093
1674563083404,0.184459,0.016825,0.013754
1674563083414,0.157788,0.047907,-0.020355
1674563083423,0.157788,0.047907,-0.020355
1674563083433,0.101596,0.360202,-0.157897
1674563083444,0.103697,0.346285,-0.160353
1674563083454,0.099002,0.270480,-0.133149
1674563083463,0.096627,0.264165,-0.133315
1674563083473,0.140408,0.073318,-0.063331
1674563083483,0.135432,0.073964,-0.061847
1674563083493,0.026457,0.102107,-0.123095
1674563083504,0.026590,0.099047,-0.123532
1674563083515,-0.000596,0.252521,-0.207815
1674563083525,-0.000596,0.252521,-0.207815
1674563083535,0.010496,0.122837,-0.139834
1674563083545,0.010981,0.119343,-0.140419
1674563083554,0.185888,0.120802,-0.107409
1674563083564,0.180902,0.118777,-0.106264
1674563083575,0.132917,0.047273,-0.124290
1674563083585,0.129501,0.046278,-0.123450
1674563083594,0.120269,0.146973,-0.156648
1674563083605,0.119491,0.141389,-0.157134
1674563083614,0.109123,0.277559,-0.210181
1674563083625,0.107009,0.270679,-0.210444
1674563083635,0.110224,0.028960,-0.123781
1674563083645,0.105776,0.030707,-0.122300
1674563083654,0.197876,0.112864,-0.173814
1674563083664,0.193809,0.109812,-0.173036
1674563083675,0.033533,0.311055,-0.227964
1674563083685,0.034233,0.301635,-0.229327
1674563083696,0.095363,0.145779,-0.036118
1674563083705,0.092300,0.143530,-0.035517
1674563083715,0.079181,-0.064056,-0.077794
1674563083725,0.075549,-0.060773,-0.076354
1674563083736,0.042375,0.228592,-0.181750
1674563083745,0.043159,0.220860,-0.182915
